prompt_id,cluster,language,run,similarity_to_en,word_count,method
P011,REGISTER_SWITCHING,en,1,1.0,208,tfidf_char_ngram
P011,REGISTER_SWITCHING,es,1,0.2547,211,tfidf_char_ngram
P011,REGISTER_SWITCHING,fr,1,0.2946,378,tfidf_char_ngram
P011,REGISTER_SWITCHING,it,1,0.237,305,tfidf_char_ngram
P011,REGISTER_SWITCHING,ro,1,0.2835,254,tfidf_char_ngram
P011,REGISTER_SWITCHING,de,2,0.1794,380,tfidf_char_ngram
P011,REGISTER_SWITCHING,en,2,1.0,210,tfidf_char_ngram
P011,REGISTER_SWITCHING,es,2,0.183,185,tfidf_char_ngram
P011,REGISTER_SWITCHING,fr,2,0.2513,309,tfidf_char_ngram
P011,REGISTER_SWITCHING,it,2,0.1909,252,tfidf_char_ngram
P011,REGISTER_SWITCHING,ro,2,0.1786,233,tfidf_char_ngram
P011,REGISTER_SWITCHING,de,3,0.2255,241,tfidf_char_ngram
P011,REGISTER_SWITCHING,en,3,1.0,220,tfidf_char_ngram
P011,REGISTER_SWITCHING,es,3,0.2719,194,tfidf_char_ngram
P011,REGISTER_SWITCHING,fr,3,0.3117,370,tfidf_char_ngram
P011,REGISTER_SWITCHING,it,3,0.2612,272,tfidf_char_ngram
P011,REGISTER_SWITCHING,ro,3,0.2625,258,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,de,1,0.0932,51,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,en,1,1.0,124,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,es,1,0.1336,123,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,fr,1,0.1585,160,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,it,1,0.1374,119,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,ro,1,0.1005,125,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,de,2,0.1137,49,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,en,2,1.0,110,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,es,2,0.11,164,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,fr,2,0.2022,168,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,it,2,0.1142,107,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,ro,2,0.0952,132,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,de,3,0.0709,40,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,en,3,1.0,68,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,es,3,0.0916,171,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,fr,3,0.1334,145,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,it,3,0.0885,131,tfidf_char_ngram
P012,AMBIGUOUS_REFERENT,ro,3,0.0883,116,tfidf_char_ngram
